title,location,date,country,year,period
"JOHN TRAVOLTA OPENS CHURCH OF SCIENTOLOGY MISSION IN HISTORIC DOWNTOWN OCALA, FLORIDA","OCALA, FLORIDA, USA","SUNDAY, MAY 29, 2011",USA,2011,2010–2016
CHURCH OF SCIENTOLOGY OF TAMPA EXPANDS INTO NEW HISTORIC LANDMARK YBOR SQUARE HOME,"TAMPA, FLORIDA","SUNDAY, MARCH 13, 2011",USA,2011,2010–2016
RIBBON FALLS ON AUSTRALIA’S FIRST IDEAL CHURCH OF SCIENTOLOGY,"MELBOURNE, AUSTRALIA","SATURDAY, JANUARY 29, 2011",AUSTRALIA,2011,2010–2016
SCIENTOLOGY OPENS RECORD NUMBER OF NEW CHURCHES AROUND THE WORLD IN 2010,"LOS ANGELES, CALIFORNIA","THURSDAY, JANUARY 27, 2011",USA,2011,2010–2016
"CHURCH OF SCIENTOLOGY FLIPS THE SWITCH ON 185,000-SQUARE-FOOT DISSEMINATION AND DISTRIBUTION CENTER","LOS ANGELES, CALIFORNIA","WEDNESDAY, JANUARY 26, 2011",USA,2011,2010–2016
CHURCH OF SCIENTOLOGY DEDICATES NEW BUILDING FOR THE PACIFIC NORTHWEST,"SEATTLE, WASHINGTON","SATURDAY, JULY 24, 2010",USA,2010,2010–2016
"NEW IDEAL SCIENTOLOGY CHURCH IN PASADENA, CALIFORNIA","PASADENA, CALIFORNIA","SUNDAY, JULY 18, 2010",USA,2010,2010–2016
SCIENTOLOGY OPENS NEW NATIONAL ORGANIZATION FOR MEXICO IN THE CITY OF PALACES,"MEXICO CITY, MEXICO","SATURDAY, JULY 10, 2010",MEXICO,2010,2010–2016
CHURCH OF SCIENTOLOGY OF LOS ANGELES OPENS NEW QUARTERS,"LOS ANGELES, CALIFORNIA","SATURDAY, APRIL 24, 2010",USA,2010,2010–2016
"SCIENTOLOGY LIFE IMPROVEMENT CENTRE OPENS IN JOHANNESBURG, SOUTH AFRICA","JOHANNESBURG, SOUTH AFRICA","FRIDAY, MARCH 26, 2010",SOUTH AFRICA,2010,2010–2016
"NEW 40,000-SQUARE-FOOT CHURCH OF SCIENTOLOGY OPENS IN LAS VEGAS RESPONDING TO GROWTH OF 40-YEAR-OLD CONGREGATION","LAS VEGAS, NEVADA","SATURDAY, FEBRUARY 6, 2010",USA,2010,2010–2016
NEW CHURCH IN THE HISTORIC HEART OF FRENCH CANADA,"QUÉBEC, CANADA","SATURDAY, JANUARY 30, 2010",CANADA,2010,2010–2016
NEW BRANCH OF CHURCHES OF SCIENTOLOGY FOR EUROPE OPENS IN BRUSSELS,"BRUSSELS, BELGIUM","SATURDAY, JANUARY 23, 2010",BELGIUM,2010,2010–2016
"FOUNDING CHURCH OF SCIENTOLOGY GRAND OPENING IN WASHINGTON, DC","WASHINGTON, DC","SATURDAY, OCTOBER 31, 2009",USA,2009,2003–2009
NEW CHURCH OF SCIENTOLOGY OPENS DOORS TO ROME,"ROME, ITALY","SATURDAY, OCTOBER 24, 2009",ITALY,2009,2003–2009
CHURCH OF SCIENTOLOGY OPENS NEW CELEBRITY CENTRE IN NASHVILLE,"NASHVILLE, TENNESSEE","SATURDAY, APRIL 25, 2009",USA,2009,2003–2009
SCIENTOLOGY OPENS NEW CHURCH IN DALLAS,"DALLAS, TEXAS","SATURDAY, APRIL 11, 2009",USA,2009,2003–2009
THE KNOWLEDGE CENTER OF NORTHERN EUROPE,"MALMÖ, SWEDEN","SATURDAY, APRIL 4, 2009",SWEDEN,2009,2003–2009
THE LANDMARK FORT HARRISON FULLY RESTORED,"CLEARWATER, FLORIDA","SATURDAY, MARCH 14, 2009",USA,2009,2003–2009
SCIENTOLOGY OPENS PROMINENT NEW CHURCH IN BERLIN,"BERLIN, GERMANY","SATURDAY, JANUARY 13, 2007",GERMANY,2007,2003–2009
SPECTACULAR GRAND OPENING OF THE CHURCH OF SCIENTOLOGY IN THE CITY OF LONDON,"LONDON, ENGLAND","SUNDAY, OCTOBER 22, 2006",ENGLAND,2006,2003–2009
CHURCH OF SCIENTOLOGY OF NEW YORK INAUGURATES NEW HOME,"NEW YORK, NEW YORK","SUNDAY, SEPTEMBER 26, 2004",USA,2004,2003–2009
THE NATIONAL CHURCH OF SCIENTOLOGY OPENED IN THE HEART OF MADRID,"MADRID, SPAIN","SATURDAY, SEPTEMBER 18, 2004",SPAIN,2004,2003–2009
ORIGINAL TRANSAMERICA BUILDING IS RESTORED AS HUB OF SPIRITUAL ACTIVITY,"SAN FRANCISCO, CALIFORNIA","SATURDAY, NOVEMBER 29, 2003",USA,2003,2003–2009
CHURCH OF SCIENTOLOGY OF JOHANNESBURG OPENS THE DOORS OF ITS NEW HEADQUARTERS,"JOHANNESBURG, SOUTH AFRICA","SATURDAY, NOVEMBER 1, 2003",SOUTH AFRICA,2003,2003–2009
